Combined_Key,Lat,Long_
"Ripley, Indiana, US",39.10235626,-85.26212744
"Boyd, Nebraska, US",42.8997274,-98.76486568
"Poquoson, Virginia, US",37.14259351,-76.35798148
"Anderson, Kansas, US",38.21413251,-95.29272815
"Murray, Oklahoma, US",34.48116015,-97.06826283
"Lawrence, Pennsylvania, US",40.99206278,-80.33393706
"Coffee, Tennessee, US",35.49090731,-86.07311784
"Cerro Gordo, Iowa, US",43.08177563,-93.2612239
"Montgomery, Missouri, US",38.94022054,-91.47000721
"Durham, North Carolina, US",36.03638492,-78.87608331
"Clarke, Alabama, US",31.68099859,-87.83548597
"Jackson, Arkansas, US",35.59802983,-91.21494602
"Pushmataha, Oklahoma, US",34.41635232,-95.37603505
"Douglas, Colorado, US",39.33133796,-104.930001
"Osborne, Kansas, US",39.3503437,-98.76753828
"Gratiot, Michigan, US",43.29265605,-84.60505416
"Pennington, South Dakota, US",44.0025835,-102.8240777
"Vermilion, Louisiana, US",29.83517605,-92.30292538
"Wayne, Kentucky, US",36.80310688,-84.8251971
"Oceana, Michigan, US",43.64124435,-86.26726673
"Finney, Kansas, US",38.04340344,-100.7381938
"Cloud, Kansas, US",39.48028352,-97.64925343
"Tippecanoe, Indiana, US",40.38872739,-86.89413959
"Rio Blanco, Colorado, US",39.97913541,-108.2179009
"Fayette, Ohio, US",39.56021306,-83.4562016
"Hampton, South Carolina, US",32.77419582,-81.13845571
"Polk, Iowa, US",41.68679484,-93.57767461
"Eddy, North Dakota, US",47.71701474,-98.90432337
"Van Buren, Arkansas, US",35.58095779,-92.51295036
"Union, Oregon, US",45.30915495,-118.0068979
"Knox, Maine, US",44.11486325,-69.10529169
"Early, Georgia, US",31.32155345,-84.90255207
"Seward, Kansas, US",37.19324632,-100.8507201
"Davison, South Dakota, US",43.67490933,-98.14458906
"McKinley, New Mexico, US",35.58007720000001,-108.262245
"Stillwater, Montana, US",45.67071407,-109.3950061
"Pottawatomie, Kansas, US",39.37925655,-96.34564657
"Camden, Georgia, US",30.92951916,-81.66601818
"Maury, Tennessee, US",35.6187413,-87.07462444
"Rooks, Kansas, US",39.35022773,-99.32484567
"Putnam, New York, US",41.42630093,-73.74965532
"McIntosh, North Dakota, US",46.11182017,-99.44145858
"Camp, Texas, US",32.97195142,-94.97790104
"Lyon, Kansas, US",38.45576156,-96.15275715
"Webster, Missouri, US",37.2813734,-92.876329
"Marion, Mississippi, US",31.23132643,-89.8209217
"Halifax, Virginia, US",36.76654925,-78.93512622
"Wilson, North Carolina, US",35.70625477,-77.917978
"Atlantic, New Jersey, US",39.47538693,-74.65848483
"Meigs, Tennessee, US",35.51558739,-84.81482914
"Montgomery, Kansas, US",37.19236568,-95.74329258
"Campbell, Kentucky, US",38.94384345,-84.37875208
"Jackson, Mississippi, US",30.54020656,-88.64184064
"Bartholomew, Indiana, US",39.20744865,-85.89558181
"St. Francois, Missouri, US",37.81214171,-90.47598685
"Elko, Nevada, US",41.14531606,-115.3577619
"Martin, Florida, US",27.0772071,-80.43109784
"Franklin, Ohio, US",39.96995815,-83.01115755
"Stephens, Texas, US",32.73553157,-98.83631615
"Renville, Minnesota, US",44.72836381,-94.94553734
"Lyon, Iowa, US",43.38107862,-96.20926845
